"OPTY_ID_15","OPTY_NM","OPTY_TYP","OPTY_SRC_NM","OPTY_AGE","OPTY_BAND","LEAD_SRC_NM","WON_FLG","LEAD_SL_PRTNR_ROLE","PRTNR_REGN_NEW","PRTNR_TYP_DESC","PRIM_PROD_INT","INIT_PROD_INT","INDUSTRY_NM","EMP_BAND","ACCT_OWN_REGN_NM","ACCT_TYP","SEG_CD"
UHUJDOX50UCRQ,95QJFLUNPAY16OM056NNN2LD2H4GIJML9T4H8DWZNDTF56Y31Y9ZJB6901H3RFWYQD10CFZ00Q62EQ0NA5MGQS69PETMDYH29MTIZNNH4KPS8VMJRUI,"Add-On Business","AE",,"(05) $150K - $250K","AE Generated - Create Account","N",,,,"Work.com","Work.com","Manufacturing","10001+ ","EMEA","Enterprise Customer","Top"
1IRFTWRM1,FG492NNWPPSTAD6VB71,"Add-On Business","Cloud Sales",,"(03) $50K - $100K","Webinar","N",,,,"Work.com",,"Retail & CG","10001+ ","EMEA","Enterprise Customer","Large"
D6T,EQYWOPUR1LDZTH3JUTDDTXS,"New Business","AE",,"(02) $25K - $50K",,"N",,,,"Work.com",,"Travel, Transportation, & Hospitality","10001+ ","APAC","Unlimited Customer","Top"
JBXD9PWU832Y,M1OCX62414ZMD794TJ3,"New Business","Alliances",26,"(11) >$10M+","Partner Referral","N","Sourced Lead","EMEA",,,"Work.com","Financial Services","201-500","EMEA","Enterprise Customer","Medium"
GJD0QC2HVWZ,PAOV93TQWE5SI6SPAPJVVE3EP5BVI0B4T665CVXRLEUINVSZHG375KB1BT40CWM22S9HDU43MIW0Q5DFZVS7ZBGSNXR0XDBWJQKFZVOKXW3N4Z5I1OYRNI,"Add-On Business","AE",575,"(11) >$10M+","CFL","N",,,,"Work.com","Work.com","High Tech","10001+ ","AMER","Unlimited Customer","Top"
NIG9W2S05AJ,CGVW1JABAU5WBQX6JAMQWOP4RJ8XKI2E7XNFMOI037JPY2UACEDPQC1P74QPDKM2U2CUNAJ6C3DK,"New Business","AE",1263,"(11) >$10M+","Partner Referral","N","Sourced Lead","AMER","Consulting Partner;ISVforce",,"Work.com","High Tech","1-20","AMER",,"Very Small"
TCD6MWTLIW36,DOF79JCWDG7X4FNL2EBIJ9Z1AX268GGNWMR0VHXT9,"New Business","BDR",,"(06) $250K - $500K","Cold Call","N",,,,"Work.com",,"Financial Services","5001-10000","AMER","Unlimited Customer","Flagship"
K,USRGWLDWVBK887FQ1D4Z1EON9B3H5N,"Add-On Business","Cloud Sales",,"(05) $150K - $250K",,"N",,,,"Work.com",,"Engineering, Construction, & Real Estate","1001-1500","AMER","Enterprise Customer","Large"
R415A3SUOF,8XFXM8Z8U04DEHY6AWNQLKWNF9CINHDMWD3XEV3MT4AM9X43V9RTZZ6U810UW011QU9TWXY7STN,"New Business","BDR",,"(04) $100K - $150K",,"N",,,,"Work.com",,"Retail & CG","10001+ ","EMEA",,"Very Small"
P6YZWO7V7GH,D,,"AE",,"(11) >$10M+","Partner Referral","N","Sourced Lead","EMEA","Consulting Partner",,"Work.com","Healthcare & Life Sciences","1001-1500","EMEA",,
