"OPTY_ID","DRVD_BU_MKT_SEG_NM","DRVD_SVP_REGN_NM","OPTY_BAND","WON_AMT","OPTY_NM","OPTY_TYP","OPTY_SRC_NM","LEAD_TYP","OPTY_AGE","WON_FLG","INDUSTRY_NM","EMP_BAND","SPRT_LVL_NM"
"0063000000yWxuWAAS","CMRCL","AMER","<1K",780,"Casenex +1 ( 9 pe)","Add-On Business","AE","Other",1483,"Y","Education","<50","Basic"
"0063000001365GlAAI","Other","AMER","<1K",840,"soteria- (+1) 1 DeskP","New Business","SDR","Other",955,"Y","High Tech","<50","Basic"
"0063000000CzpEwAAJ","Other","AMER","<1K",672,"ALMAG Aluminum Inc. - (+1)12PE","Add-On Business","AE","Other",4019,"Y","Manufacturing","50-200","Basic"
"0063000000ziZ3KAAU","Other","AMER","1K-5K",1275,"Northbound - Webstore","Add-On Business","AE","Other",1332,"Y","Professional Services","50-200","Basic"
"0063000000vX92IAAS","Other","AMER","<1K",900,"Zillow, RentJuice Division - Webstore","Add-On Business","AE","Other",1954,"Y","Communications & Media","<50","Basic"
"00630000011ivkFAAQ","Other","AMER","1K-5K",3051,"RelateIQ Historic: Tilt (Formerly Crowdtilt) - Upsell - $3051","Add On Business","AE","Other",1059,"Y","Professional Services","200-1000","Basic"
"0063000000xkIFdAAM","Other","EMEA","<1K",194.4,"ProjectsOne +1 (10GE)","Add-On Business","AE","Other",1621,"Y","Professional Services","<50","Basic"
"0063000000vWTcDAAW","Other","AMER","10K-100K",10800,"Zillow, RentJuice Division (+10 EE) 36 EE","Add-On Business","AE","Other",1975,"Y","Communications & Media","<50","Basic"
"0063000000xZucrAAC","Other","AMER","<1K",111.72,"RE/MAX Plus Cannan Team_OEM","New Business","AE","Other",1555,"Y","Other","<50","Basic"
"0063000000zhMuPAAU","Other","APAC","<1K",103.2,"Skyetech Solutions - Sales Console","Add-On Business","AE","Other",1365,"Y","High Tech","<50","Basic"
"0063000000libw2AAA","Other","AMER","1K-5K",1170,"Ferguson - Oregon (+1EE) 4EE","Add-On Business","BDR","Other",2543,"Y","Manufacturing","<50","Basic"
"00630000012Z3p3AAC","Other","AMER","1K-5K",1125,"BlackStratus (+1)","Add-On Business","AE","Other",883,"Y","High Tech","50-200","Basic"
"00630000012Z5mpAAC","CMRCL","AMER","<1K",0.14,"Alliance Health - Private Domain - Dec 2015 - Term 2","Add-On Business","AE","Other",0,"Y","Healthcare & Life Sciences","50-200","Basic"
"0063000000zkCDZAA2","ENTR","AMER","5K-10K",8100,"eBioscience (+3) 116 UE, renewal addon","Add-On Business","AE","Other",1262,"Y","Professional Services","50-200","Basic"
"006300000137XjoAAE","Other","AMER","1K-5K",3825,"Littlethings (+3) 7 PE + API + PSA","Add-On Business","AE","Other",0,"Y","Communications & Media","50-200","Basic"
"00630000010OMNjAAO","Other","AMER","<1K",300,"A Anthony Corp - Webstore","New Business","AE","Other",1176,"Y","Other","<50","Basic"
"0060M000013oZUhQAM","CMRCL","AMER","1K-5K",1918.8,"First Point Management - VCC Brands - Webstore","Add-On Business","AE","Other",0,"Y","Other","50-200","Basic"
"0060M000015Zk67QAC","ESMB","EMEA","1K-5K",4320,"Planeta Sport - Service Cloud (3 & 5 years offer)","New Business","AE","Other",0,"Y","Retail & CG","200-1000","Basic"
"0060M000015Xi5pQAC","ENTR","JP",">500K",3131172,"Shell Lubricants Japan K.K.  UE  LPP +10(44), CCP +30(391),","Add-On Business","AE","Other",0,"Y","Manufacturing","50-200","Premier"
"0060M000015IL91QAG","ENTR","JP","100K-500K",121716,"HASEKO CORPORATION PartnerPortal+3","Add-On Business","AE","Other",0,"Y","Engineering, Construction, & Real Estate","1000-5000","Basic"
"0060M000015XmpmQAC","CMRCL","JP","100K-500K",176400,"Houkago NPO Afterschool - EE(20),LPP+7(13), Customer Community Member(6)","Add-On Business","AE","Other",0,"Y","Other","<50","Basic"
"006300000136boqAAA","Other","AMER","1K-5K",1044,"CubaLlama-Add-on/Upgrade","Add-on/Upgrade","AE","Other",919,"Y","Other","<50","Basic"
"0063000000vVbc4AAC","Other","EMEA","<1K",76.33,"Buller Immobilien GbR_OEM","New Business","AE","Other",2001,"Y","Other","<50","Basic"
"0060M000015Zrm5QAC","CMRCL","JP","100K-500K",108000,"【Reseller】Kyosin Corporation-EE+1(5), FEE(8), FEA(8), ChatterPlus(11)","Add-On Business","AE","Other",0,"Y","Engineering, Construction, & Real Estate","<50","Basic"
"0060M000011lJGfQAM","Other","AMER","100K-500K",175000.8,"KeyBank Ramp from SELA","Add-On Business","AE","Other",0,"Y","Other",">5000","Other"
"006300000136k8rAAA","Other","AMER","<1K",900,"Buffington, Mohr, McNeal_OEM","Add-On Business","AE","Other",906,"Y","Financial Services","<50","Basic"
"0063000000vWteLAAS","Other","EMEA","<1K",62.87,"Heubach-Immobilien_OEM","New Business","AE","Other",1962,"Y","Engineering, Construction, & Real Estate","<50","Basic"
"00630000010mIjVAAU","Other","EMEA","1K-5K",1740,"Outfittery GmbH-Add-on/Upgrade","Add-on/Upgrade","SDR","Other",1185,"Y","Retail & CG","50-200","Basic"
"0060M000014JTPiQAO","CMRCL","APAC","10K-100K",48600,"CROMPTON GREAVES LIMITED ( +150EE) +150EE","New Business","BDR","Other",0,"Y","Retail & CG","1000-5000","Basic"
"0063000000wLFkcAAG","Other","AMER","1K-5K",2340,"Ferguson Enterprises - Oregon Office - Webstore","Add-On Business","AE","Other",1830,"Y","Manufacturing","<50","Basic"
